,City,Cloud,Humidity,Lat,Lon,Temp,Wind
0,Tuatapere,64,100,-46.13,167.69,55.09,9.33
1,Dingle,48,64,11.0,122.67,84.97,12.68
2,Port Elizabeth,1,64,39.31,-74.98,44.6,8.05
3,Qaanaaq,44,87,77.48,-69.36,-20.42,6.08
4,Kenai,1,37,60.55,-151.26,37.4,10.29
5,Nouadhibou,0,72,20.93,-17.03,62.6,26.4
6,Kapaa,90,94,22.08,-159.32,71.6,12.75
7,Union City,1,65,36.42,-89.06,51.8,2.73
8,Mahebourg,20,78,-20.41,57.7,78.8,10.29
9,Upernavik,8,100,72.79,-56.15,-14.3,8.77
10,Lavumisa,100,99,-27.31,31.88,61.93,8.1
11,Regina,90,86,50.45,-104.62,32.0,25.28
12,Mar del Plata,0,57,-46.43,-67.52,60.4,20.29
13,Torbay,90,100,47.66,-52.73,30.2,26.4
14,Narsaq,0,63,60.91,-46.05,30.2,10.29
15,San Joaquin,48,64,10.59,122.14,84.97,12.68
16,Sambava,80,100,-14.27,50.17,79.3,12.46
17,Hilo,90,54,19.71,-155.08,80.6,5.82
18,Chokurdakh,32,76,70.62,147.9,-11.6,4.74
19,Trincomalee,0,80,8.58,81.23,82.36,5.97
20,Severo-Kurilsk,20,100,50.68,156.12,26.29,3.96
21,Port Alfred,12,95,-33.59,26.89,65.44,14.03
22,Vaini,0,53,15.34,74.49,74.08,2.17
23,Punta Arenas,75,81,-53.16,-70.91,44.6,16.11
24,Cidreira,20,82,-30.17,-50.22,67.69,12.35
25,Barrow,20,78,-38.31,-60.23,60.85,9.78
26,Souillac,75,80,45.6,-0.6,35.6,7.99
27,Rikitea,76,100,-23.12,-134.97,80.02,11.45
28,Castro,92,96,-42.48,-73.76,56.89,9.33
29,Ushuaia,20,70,-54.81,-68.31,46.4,5.82
30,Richards Bay,92,100,-28.77,32.06,64.99,5.3
31,Aksu,90,100,52.04,76.93,35.6,11.18
32,Dikson,44,86,73.51,80.55,-14.21,28.12
33,Milak,0,50,30.97,61.81,55.4,9.17
34,Busselton,0,98,-33.64,115.35,70.21,14.14
35,Sampit,0,84,-2.54,112.95,86.86,4.52
36,Bereda,75,87,43.27,-7.54,48.2,19.46
37,Cururupu,68,88,-1.82,-44.87,78.94,4.18
38,Cabo San Lucas,75,27,22.89,-109.91,78.8,9.17
39,Alice Town,0,100,25.72,-79.3,68.95,16.15
40,Ferkessedougou,8,77,9.6,-5.2,71.65,10.0
41,Las Palmas,40,88,-6.53,-76.35,77.0,3.36
42,Havre-Saint-Pierre,20,64,50.23,-63.6,35.6,14.99
43,Poopo,0,94,-18.38,-66.97,50.77,3.62
44,Georgetown,0,94,6.8,-58.16,73.4,6.93
45,Poso,76,100,-1.4,120.75,79.3,2.95
46,Denpasar,0,78,-8.65,115.22,83.8,2.51
47,Karasjok,48,62,69.47,25.52,21.2,24.16
48,Cape Town,0,82,-33.93,18.42,57.2,4.7
49,Gotsu,20,57,35.01,132.22,51.8,3.36
50,Saint-Philippe,40,59,45.36,-73.48,35.6,4.7
51,Alofi,75,78,-19.06,-169.92,82.4,6.93
52,Henties Bay,0,100,-22.12,14.28,61.57,3.18
53,Lebu,75,51,8.96,38.73,59.0,2.17
54,Gardanne,0,56,43.45,5.47,50.0,25.28
55,Puerto Ayora,20,69,-0.74,-90.35,82.4,11.41
56,Beloha,56,92,-25.17,45.06,74.62,13.13
57,Atuona,80,100,-9.8,-139.03,77.59,8.21
58,Edd,0,45,13.93,41.69,60.22,1.16
59,Albany,75,48,42.65,-73.75,39.2,9.17
60,Naze,40,94,5.43,7.07,75.2,3.74
61,San Isidro,88,97,16.74,121.63,70.93,4.41
62,Duku,76,94,11.24,4.91,72.1,7.76
63,Clyde River,40,67,70.47,-68.59,-23.81,9.17
64,Mikhaylovka,0,60,52.96,103.29,47.08,3.96
65,Nemuro,75,100,43.32,145.57,32.0,16.11
66,Tooele,75,58,40.53,-112.3,60.8,28.86
67,Kaitangata,64,96,-46.28,169.85,56.35,6.2
68,Sidi Ali,0,87,36.1,0.42,33.67,4.63
69,Mataura,68,93,-46.19,168.86,57.25,5.08
70,Soverato,75,87,38.69,16.55,46.4,10.29
71,Chaumont,90,100,48.11,5.14,39.2,3.36
72,Wattegama,0,92,7.35,80.68,76.15,3.96
73,Aswan,0,22,24.09,32.9,78.8,3.36
74,Nishihara,75,47,35.74,139.53,55.4,6.93
75,Tarata,8,90,-17.47,-70.03,42.49,0.94
76,Pevek,88,100,69.7,170.27,7.39,2.28
77,Tulun,64,77,54.56,100.58,38.53,3.4
78,Salalah,20,83,17.01,54.1,75.2,2.24
79,Zharkent,64,68,44.17,80.0,41.32,1.61
80,Hermanus,0,90,-34.42,19.24,47.35,2.73
81,Port Shepstone,92,100,-30.74,30.45,67.06,4.41
82,Jamestown,20,89,-33.21,138.6,67.66,10.2
83,Deming,1,12,32.27,-107.76,80.6,6.93
84,Cooma,92,100,-36.24,149.13,56.98,3.74
85,College,1,33,64.86,-147.8,30.2,9.17
86,Ketchikan,90,87,55.34,-131.65,42.8,8.05
87,Oriximina,36,85,-1.77,-55.87,79.21,2.51
88,Vardo,1,47,39.62,-77.74,41.0,16.11
89,Lima,8,89,-12.06,-77.04,60.49,1.16
90,Lhokseumawe,8,92,5.18,97.15,85.42,3.29
91,New Norfolk,75,52,-42.78,147.06,66.2,12.75
92,Prince Rupert,90,93,54.32,-130.32,39.2,8.05
93,Qaqortoq,0,63,60.72,-46.03,30.2,10.29
94,Udachnyy,0,68,66.42,112.4,14.68,3.4
95,Tuktoyaktuk,20,76,69.44,-133.03,3.2,6.93
96,Atar,0,20,20.52,-13.05,62.02,10.67
97,Thompson,5,39,55.74,-97.86,12.2,5.82
98,Westport,92,100,53.8,-9.52,42.58,10.78
99,Hithadhoo,80,100,-0.6,73.08,84.43,14.25
100,Cherskiy,92,83,68.75,161.3,-5.48,6.76
101,Hobart,75,52,-42.88,147.33,66.2,12.75
102,Coquimbo,0,82,-29.95,-71.34,59.0,2.24
103,Komsomolskiy,48,74,67.55,63.78,-3.5,10.45
104,Kavieng,36,93,-2.57,150.8,86.5,12.91
105,Cayenne,75,83,4.94,-52.33,77.0,8.66
106,Sainte-Rose,75,64,45.61,-73.79,35.6,6.93
107,Vestmannaeyjar,88,93,63.44,-20.27,39.88,12.12
108,Smithers,90,100,54.78,-127.17,30.2,6.93
109,Yulara,0,22,-25.24,130.99,87.8,12.75
110,Siavonga,32,93,-16.54,28.71,71.2,4.18
111,Tura,0,89,25.52,90.21,69.85,4.41
112,Bluff,48,73,-23.58,149.07,79.75,15.82
113,Hovd,75,80,63.83,10.7,37.4,6.93
114,Norman Wells,20,55,65.28,-126.83,10.4,2.24
115,Sernur,32,62,56.93,49.15,0.37,2.95
116,Vinh,24,85,18.67,105.69,70.48,3.96
117,Ajdabiya,88,68,30.75,20.22,56.53,6.87
118,Kristiansund,92,100,63.12,7.73,35.6,5.82
119,Nikolskoye,90,92,59.7,30.79,30.2,17.9
120,Sur,0,94,22.57,59.53,73.99,5.41
121,Houma,92,54,35.63,111.36,57.52,3.06
122,Tasiilaq,88,86,65.61,-37.64,28.4,4.7
123,Butaritari,64,100,3.07,172.79,82.54,18.72
124,Bambous Virieux,20,78,-20.34,57.76,78.8,10.29
125,Fortuna,0,42,38.18,-1.13,48.2,5.82
126,Yantal,92,81,56.85,105.25,30.25,3.18
127,Banda Aceh,12,80,5.56,95.32,83.26,3.62
128,Khatanga,20,72,71.98,102.47,-16.28,4.18
129,Lazaro Cardenas,75,15,28.39,-105.62,82.4,6.93
130,Minas,0,72,-34.38,-55.24,64.4,9.17
131,Pimenta Bueno,0,96,-11.68,-61.19,74.71,2.06
132,Vadso,32,85,70.07,29.75,10.4,12.75
133,Buckeye,1,19,33.37,-112.58,86.0,10.29
134,Arraial do Cabo,75,94,-22.97,-42.02,77.0,5.82
135,Avarua,40,74,-21.21,-159.78,86.0,11.41
136,Ancud,76,96,-41.87,-73.83,57.97,10.67
137,Hambantota,32,100,6.12,81.12,82.72,11.79
138,Nerchinskiy Zavod,0,36,51.31,119.61,39.34,5.64
139,Xanlar,40,58,40.56,46.33,53.6,6.93
140,Polewali,48,75,-4.03,119.8,85.96,9.1
141,Morehead,1,47,38.18,-83.43,37.4,6.93
142,Maryborough,92,97,-25.54,152.7,69.85,5.64
143,Yeppoon,75,83,-23.13,150.74,77.0,14.99
144,Luderitz,0,100,-26.65,15.16,57.2,5.82
145,Ostrovnoy,0,75,68.05,39.51,7.03,10.78
146,Novouzensk,64,92,50.46,48.14,25.12,18.05
147,Rocha,12,62,-34.48,-54.34,58.87,9.22
148,Ansbach,90,96,49.3,10.57,33.8,9.17
149,San Nicolas,92,98,14.94,-88.33,66.7,2.17
150,Murmashi,40,78,68.82,32.82,12.2,6.71
151,Pingliang,64,66,35.54,106.68,53.47,3.18
152,Manggar,0,93,-2.88,108.27,85.51,3.96
153,Bara,0,58,10.41,10.6,80.56,13.13
154,Zhangye,0,85,38.94,100.46,47.89,4.18
155,Caucaia,40,78,-3.73,-38.66,82.4,6.93
156,Yellowknife,75,64,62.45,-114.38,1.4,3.36
157,Gornyy,88,88,51.76,48.54,23.95,16.37
158,Autazes,32,97,-3.58,-59.13,75.97,2.51
159,Magadan,0,43,59.56,150.8,12.2,8.95
160,Zyryanskoye,92,93,56.83,86.62,42.22,16.82
161,Kruisfontein,0,91,-34.0,24.73,61.03,11.12
162,Elk,88,94,53.83,22.36,28.45,6.08
163,Asyut,0,38,27.18,31.19,73.4,9.17
164,Walvis Bay,0,87,-22.95,14.51,59.0,6.93
165,Lompoc,90,77,34.64,-120.46,62.6,6.93
166,Opuwo,12,82,-18.06,13.84,57.52,3.85
167,Payo,36,94,-3.75,103.64,80.65,4.63
168,Bougouni,0,35,11.42,-7.49,71.47,8.66
169,Ust-Kut,92,73,56.78,105.75,30.07,3.29
170,Airai,44,70,-8.93,125.41,81.19,2.62
171,Broken Hill,48,75,-31.97,141.45,73.54,4.74
172,Baculin,24,83,7.45,126.58,81.82,6.76
173,Esperance,20,78,10.24,-61.45,77.0,3.36
174,Adrar,0,16,27.87,-0.29,48.2,8.05
175,Hereford,92,95,52.06,-2.72,43.12,15.37
176,Stokmarknes,0,100,68.56,14.91,24.31,8.21
177,Salina,1,39,36.29,-95.15,69.8,8.05
178,Fort Nelson,90,72,58.81,-122.69,12.2,8.05
179,Isangel,80,100,-19.55,169.27,79.66,11.45
180,Akureyri,0,80,65.68,-18.09,35.6,14.99
181,Ambilobe,12,95,-13.19,49.05,70.75,2.62
182,Nioro,12,31,13.79,-15.05,71.83,10.11
183,Abu Kamal,0,32,34.45,40.92,51.49,7.2
184,Muravlenko,20,54,63.79,74.5,-18.98,11.68
185,Tema,20,88,5.66,-0.01,80.6,11.41
186,Valvedditturai,0,97,9.82,80.17,82.54,1.39
187,Bubaque,0,73,11.28,-15.83,75.2,6.93
188,Kehtna,90,86,58.92,24.87,30.2,13.87
189,Grindavik,75,100,63.84,-22.43,37.4,16.11
190,General Roca,90,55,-39.03,-67.58,66.2,18.72
191,Lagoa,0,81,37.14,-8.45,50.0,10.29
192,Saint-Leu,0,73,-21.15,55.28,75.2,6.93
193,Gillette,90,50,44.29,-105.5,53.6,21.92
194,Puerto El Triunfo,0,65,13.27,-88.55,80.6,4.7
195,Nyurba,88,78,63.29,118.35,23.5,3.74
196,Zhaoyang,68,80,42.68,126.03,46.72,4.85
197,Iquitos,75,88,-3.75,-73.25,78.8,6.93
198,Olonets,88,98,60.98,32.97,27.37,7.2
199,Morristown,1,51,36.21,-83.29,39.2,3.36
200,Ariquemes,12,89,-9.91,-63.03,77.05,1.83
201,Bathsheba,20,78,13.22,-59.52,78.8,14.99
202,Lahad Datu,64,83,5.02,118.33,83.08,3.62
203,Uulu,0,78,58.28,24.58,22.6,10.45
204,Hobyo,0,92,5.35,48.53,77.77,5.19
205,Wanning,75,94,48.64,13.53,32.0,4.7
206,Bredasdorp,0,96,-34.53,20.04,63.91,17.49
207,Katsuura,40,65,33.93,134.5,46.4,11.41
208,Hofn,0,99,64.25,-15.21,37.99,7.54
209,Nago,20,80,45.88,10.89,33.8,1.12
210,Huangpi,0,71,30.88,114.37,57.2,11.18
211,Constitucion,40,5,23.99,-104.67,84.2,2.24
212,Buzmeyin,40,81,38.05,58.21,51.8,2.24
213,Saskylakh,48,80,71.97,114.09,-8.36,9.78
214,Chuy,12,90,-33.69,-53.46,60.76,8.43
215,Fenoarivo,75,88,-18.93,47.44,66.2,4.7
216,Vostok,0,63,46.45,135.83,39.7,2.95
217,Kalmunai,48,84,7.42,81.82,79.12,4.63
218,Tautira,40,74,-17.73,-149.15,84.2,8.05
219,Saint-Pierre,90,93,48.95,4.24,39.2,4.7
220,Carnarvon,0,93,-30.97,22.13,51.22,6.53
221,Cabedelo,20,78,-6.97,-34.84,78.8,4.7
222,Igurubi,32,96,-4.0,33.71,58.6,2.95
223,Mount Vernon,75,93,48.42,-122.33,44.6,4.7
224,Izumo,20,66,35.37,132.75,48.2,2.24
225,Beringovskiy,64,97,63.05,179.32,31.87,36.28
226,Sisimiut,0,55,66.94,-53.67,-19.52,1.61
227,Vestmanna,92,86,62.16,-7.17,39.2,6.76
228,Chon Daen,0,52,16.19,100.86,85.87,4.97
229,Byron Bay,40,57,-28.65,153.62,80.6,14.99
230,Iqaluit,20,68,63.75,-68.52,-14.81,9.17
231,Awjilah,92,55,29.14,21.3,62.11,15.37
232,Te Anau,36,82,-45.41,167.72,52.12,3.51
233,Batagay-Alyta,44,83,67.8,130.41,10.99,3.4
234,Chernyshevskiy,8,80,63.01,112.47,22.6,3.51
235,Aztec,90,25,36.82,-107.99,66.2,3.36
236,Angul,0,67,20.84,85.1,82.36,4.41
237,Wasilla,1,29,61.58,-149.44,37.4,8.05
238,Sola,90,100,58.89,5.65,35.6,5.82
239,Sao Filipe,0,93,14.9,-24.5,70.93,17.38
240,Erdenet,0,49,49.03,104.04,45.28,3.96
241,Kirensk,56,66,57.78,108.12,32.14,5.53
242,Lewistown,90,64,40.39,-90.15,48.2,5.82
243,Flin Flon,80,79,54.77,-101.88,23.5,9.22
244,Kodiak,1,44,39.95,-94.76,57.2,12.75
245,Petauke,32,89,-14.25,31.33,70.12,7.76
246,Ponta do Sol,44,96,-20.63,-46.0,66.52,2.84
247,Qandala,0,79,11.47,49.87,57.43,2.39
248,Marawi,92,100,8.0,124.29,70.21,1.72
